Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Harlem Globetrotters,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.93,,,,,,
Heavy Barrel,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.00,,,,,,
Heavy Shreddin',Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.81,,,,,,
High Speed,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.99,,,,,,
Hogan's Alley,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Hollywood Squares (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.87,,,,,,
Home Alone (1991),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.10,,,,,,
Home Alone 2: Lost in New York,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.39,,,,,,
Hoops,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.87,,,,,,
Hudson Hawk,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.38,,,,,,
Hydlide,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.00,,,,,,
Ice Climber,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.24,,,,,,
Ice Hockey (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.27,,,,,,
Ikari III: The Rescue,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$22.10,,,,,,
Ikari Warriors,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.95,,,,,,
Ikari Warriors II: Victory Road,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.13,,,,,,
Image Fight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.29,,,,,,
Indiana Jones and the Last Crusade (Taito),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Indiana Jones and the Temple of Doom,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.18,,,,,,
Infiltrator,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.16,,,,,,
Iron Tank: The Invasion of Normandy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.93,,,,,,
Ironsword: Wizards & Warriors II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.39,,,,,,
Jack Nicklaus Golf,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Jackal (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.00,,,,,,
Jackie Chan's Action Kung Fu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$62.20,,,,,,
Jaws,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.35,,,,,,
Jeopardy! (1992),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Jeopardy!: 25th Anniversary Edition,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$2.74,,,,,,
Jim Henson's Muppet Adventure: Chaos at the Carnival,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.38,,,,,,
John Elway's Quarterback,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.55,,,,,,
Jordan vs. Bird: One on One,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.00,,,,,,
Joshua & the Battle of Jericho,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.50,,,,,,
Journey to Silius,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$26.13,,,,,,
Joust,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.88,,,,,,
Jurassic Park (NES / Game Boy),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.32,,,,,,
Kabuki Quantum Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.00,,,,,,
Karate Champ,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.44,,,,,,
Karnov,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Kickle Cubicle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$20.81,,,,,,
KickMaster,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$66.99,,,,,,
Kid Icarus,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.98,,,,,,
Kid Kool and the Quest for the Seven Wonder Herbs,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.32,,,,,,
Kid Niki: Radical Ninja,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.10,,,,,,
King of Kings: The Early Years,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.58,,,,,,
King's Knight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.15,,,,,,
King's Quest V: Absence Makes the Heart Go Yonder!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.29,,,,,,
Kings of the Beach,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.88,,,,,,
Kirby's Adventure,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.95,,,,,,
